"Rev2","partial2","Rev31","partial31","Activity"
"1110",1,"0111",0,"Growing of cereals and other crops n.e.c"
"1110",1,"0112",1,"Growing of vegetables, horticultural specialities, nursery products"
"1110",1,"0113",0,"Growing of fruit, nuts, beverage and spice crops"
"1110",1,"0121",0,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming"
"1110",1,"0122",1,"Raising domesticated or wild animals n.e.c. (e.g. swine, poultry, rabbits)"
"1110",1,"0130",0,"Growing of crops combined with farming of animals (mixed farming)"
"1110",1,"0140",1,"Landscape gardening"
"1110",1,"0200",1,"Tree nurseries, except forest trees"
"1120",1,"0122",1,"Poultry hatchery, silkworm raising, on a fee or contract basis"
"1120",1,"0140",1,"Agricultural and animal husbandry activities, on a fee or contract basis"
"1120",1,"7414",1,"Farm management activities"
"1130",0,"0150",1,"Hunting, trapping and game propagation"
"1210",1,"0112",1,"Gathering of mushrooms, truffles"
"1210",1,"0200",1,"Forestry and related service activities"
"1220",0,"0200",1,"Logging"
"1301",1,"0150",1,"Catching of sea mammals, except whales"
"1301",1,"0501",1,"Ocean and coastal fishing"
"1302",1,"0122",1,"Frog farming"
"1302",1,"0501",1,"Fishing in inland waters; service activities related to fishing"
"1302",1,"0502",0,"Fish hatcheries, cultivated beds; service activities related to aquaculture"
"2100",1,"1010",1,"Mining and agglomeration of hard coal"
"2100",1,"1020",1,"Mining and agglomeration of lignite"
"2200",1,"1010",1,"On-site gasification of coal"
"2200",1,"1110",0,"Extraction of crude petroleum and natural gas"
"2301",0,"1310",0,"Mining of iron ores"
"2302",1,"1200",0,"Mining of uranium and thorium ores"
"2302",1,"1320",0,"Mining of non-ferrous metal ores, except uranium and thorium ores"
"2901",1,"1410",1,"Quarrying of building or monumental stone; mining of ceramic or refractory clay, chalk, dolomite; sand and gravel"
"2901",1,"1429",1,"Mining of feldspar"
"2902",0,"1421",0,"Mining of chemical and fertilizer minerals"
"2903",0,"1422",0,"Extraction of salt"
"2909",1,"1030",1,"Mining and agglomeration of peat"
"2909",1,"1410",1,"Mining of gypsum, anhydrite"
"2909",1,"1429",1,"Mining and quarrying of asbestos, mica, quartz, gem stones, abrasives, asphalt and bitumen, other non-metallic minerals, n.e.c."
"3111",1,"1511",1,"Slaughtering, preparing and preserving meat, including sausage, edible animal fats, flours and meals, by-products (hides, bones, etc.)"
"3111",1,"1549",1,"Manufacture of soup containing meat"
"3112",0,"1520",0,"Manufacture of dairy products"
"3113",1,"1513",1,"Canning and preserving of fruits and vegetables (except soups)"
"3113",1,"1549",1,"Manufacture of soups of vegetables and fruit"
"3114",1,"1512",1,"Canning, preserving and processing of fish, crustacea and similar foods (except soups)"
"3114",1,"1549",1,"Manufacture of fish and seafood soups and specialties"
"3115",1,"1511",1,"Processing of inedible oils and fats"
"3115",1,"1512",1,"Production of fish meal"
"3115",1,"1514",0,"Manufacture of vegetable and animal oils and fats"
"3115",1,"1532",1,"Manufacture of meal, cake of vegetables, nuts"
"3116",1,"1513",1,"Potato flour and meal"
"3116",1,"1531",1,"Grain milling: flour, meal, cereal grains; rice milling; vegetable milling; manufacture of breakfast foods"
"3116",1,"1532",1,"Manufacture of tapioca; wet corn milling"
"3117",1,"1541",0,"Manufacture of bakery products (bread, pastry, etc.)"
"3117",1,"1544",1,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"3118",0,"1542",1,"Sugar factories and refineries"
"3119",1,"1513",1,"Roasting of nuts"
"3119",1,"1543",1,"Manufacture of cocoa, chocolate and sugar confectionery"
"3121",1,"1513",1,"Processing of fruits and vegetables n.e.c. (e.g. baked beans, grape sugar, juice extracts)"
"3121",1,"1532",1,"Manufacture of starch products n.e.c."
"3121",1,"1542",1,"Production of maple sugar, invert sugar, sugars other than cane or beet"
"3121",1,"1543",1,"Manufacture of marshmallow creme"
"3121",1,"1544",1,"Manufacture of pasta-based convenience food products"
"3121",1,"1549",1,"Manufacture of coffee and coffee substitutes, tea, spices, condiments, vinegar, yeast, egg products"
"3121",1,"2429",1,"Edible salt refining"
"3122",1,"1531",1,"Grain milling residues"
"3122",1,"1533",0,"Manufacture of prepared animal feeds"
"3131",0,"1551",0,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
"3132",0,"1552",0,"Manufacture of wines"
"3133",0,"1553",0,"Manufacture of malt liquors and malt"
"3134",0,"1554",0,"Manufacture of soft drinks; production of mineral waters"
"3140",0,"1600",0,"Manufacture of tobacco products"
"3211",1,"0140",1,"Cotton ginning"
"3211",1,"1711",0,"Preparation and spinning of textile fibres; weaving of textiles"
"3211",1,"1712",0,"Finishing of textiles"
"3211",1,"1729",1,"Manufacture of narrow fabrics, braids, lace"
"3211",1,"2430",1,"Manufacture of synthetic filament yarns (spinning and weaving of purchased man-made fibres)"
"3211",1,"2610",1,"Manufacture of yarn of glass fibres"
"3211",1,"5260",1,"""While-you-wait"" services, e.g. textile printing"
"3212",1,"1721",1,"Manufacture of made-up textile articles, except apparel"
"3212",1,"2520",1,"Manufacture of made-up plastics textile goods, except wearing apparel (e.g. bags, household furnishings)"
"3213",0,"1730",0,"Manufacture of knitted and crocheted fabrics and articles"
"3214",1,"1722",0,"Manufacture of carpets and rugs"
"3214",1,"2029",1,"Manufacture of woven cane or straw floor mats"
"3215",0,"1723",0,"Manufacture of cordage, rope, twine and netting"
"3219",1,"1729",1,"Manufacture of fabric for industrial use, wicks; textiles n.e.c. (e.g. felt, coated or laminated fabrics, painters' cloths)"
"3219",1,"1820",1,"Manufacture of artificial fur; horsehair"
"3219",1,"3699",1,"Manufacture of linoleum and hard surface floor coverings"
"3219",1,"3720",1,"Recycling of textile fibres"
"3220",1,"1810",1,"Manufacture of wearing apparel, except fur apparel"
"3220",1,"1820",1,"Manufacture of fur apparel, accessories, trimmings"
"3231",0,"1911",0,"Tanning and dressing of leather"
"3232",0,"1820",1,"Fur dressing and dyeing industries"
"3233",1,"1912",1,"Manufacture of luggage, handbags and the like, saddlery and harness"
"3233",1,"3699",1,"Manufacture of whips and riding crops"
"3240",1,"1920",1,"Manufacture of footwear, except vulcanized or moulded rubber or plastics footwear"
"3240",1,"2899",1,"Manufacture of shoe clasps and buckles"
"3311",1,"2010",1,"Sawmilling and planing of wood, including by-products; manufacture of unassembled wood flooring, wooden railway sleepers; preservation of wood"
"3311",1,"2021",1,"Manufacture of veneers, sheets, plywood, laminated wood, particle board"
"3311",1,"2022",0,"Manufacture of builders' carpentry and joinery"
"3311",1,"2023",1,"Manufacture of coopers' products of wood"
"3312",1,"2023",1,"Manufacture of boxes, crates, drums, barrels, other wood containers"
"3312",1,"2029",1,"Manufacture of plaiting materials; baskets and other articles of cane, plaiting materials"
"3319",1,"1920",1,"Manufacture of footwear wholly of wood"
"3319",1,"2010",1,"Manufacture of wood flour, sawdust"
"3319",1,"2029",1,"Cork processing; manufacture of cork products, small wares of wood, such as tools, household utensils, ornaments, cases, wood articles, n.e.c."
"3319",1,"3699",1,"Manufacture of burial caskets"
"3320",1,"1721",1,"Manufacture of textile window blinds and shades"
"3320",1,"2029",1,"Manufacture of furnishings of wood, e.g. coat racks, window blinds (not standing furniture)"
"3320",1,"3610",1,"Manufacture of furniture and fixtures, except of plastics or metal"
"3320",1,"3699",1,"Manufacture of theatrical scenery and properties"
